rank,c,delta,p,chi,net_vol_pct,conditioned_windows,min_rank
54,0.6,2.5,0.1,0.9,4.240298068691286,0,10
55,0.2,2.25,0.1,0.9,4.24124934197234,3,9
56,0.7,2.0,0.2,0.9,4.242097250832538,0,10
57,0.7,1.5,0.3,0.9,4.246072204301182,0,10
58,0.7,2.25,0.1,0.9,4.2473216485239105,0,10
59,0.3,2.0,0.1,0.9,4.247618085820357,0,10
60,0.5,2.0,0.1,0.9,4.24990787447878,0,10
61,0.7,2.25,0.2,0.9,4.2500309219380705,0,10
62,0.7,2.0,0.1,0.9,4.25016930045043,0,10
63,0.7,1.25,0.3,0.9,4.251857281673497,0,10
64,0.7,2.75,0.1,0.9,4.252795278057067,0,10
65,0.7,0.75,0.9,0.9,4.253847253281223,0,10
66,0.0,2.5,0.1,0.9,4.255061594893076,9,9
67,0.7,2.0,0.25,0.9,4.257031302643197,0,10
68,0.7,1.75,0.2,0.9,4.257931971347945,0,10
69,0.3,1.75,0.1,0.9,4.258913250464847,0,10
70,0.6,2.75,0.1,0.9,4.261668518675889,0,10
71,0.7,1.75,0.25,0.9,4.262588445234707,0,10
72,0.3,1.25,0.2,0.9,4.268436018491893,0,10
73,0.6,2.25,0.3,0.9,4.268860766543008,0,10
74,0.7,2.5,0.2,0.9,4.26886679402129,0,10
75,0.7,1.75,0.3,0.9,4.2722714208071455,0,10
76,0.3,2.25,0.1,0.9,4.275813752583625,2,9
77,0.6,1.0,0.1,0.9,4.276462395000074,0,10
78,0.0,1.0,0.0,0.9,4.2766586345733995,0,10
79,0.1,1.0,0.0,0.9,4.2766586345733995,0,10
80,0.2,1.0,0.0,0.9,4.2766586345733995,0,10
81,0.3,1.0,0.0,0.9,4.2766586345733995,0,10
82,0.4,1.0,0.0,0.9,4.2766586345733995,0,10
83,0.5,1.0,0.0,0.9,4.2766586345733995,0,10
84,0.6,1.0,0.0,0.9,4.2766586345733995,0,10
85,0.7,1.0,0.0,0.9,4.2766586345733995,0,10
86,0.6,2.5,0.2,0.9,4.276924593955353,0,10
87,0.4,1.5,0.2,0.9,4.277193096469064,0,10
